City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,petropavlovsk-kamchatskiy,53.0452,158.6483,-0.67,-0.68,100,2.0,RU,1681418584
164,grindavik,63.8424,-22.4338,6.97,6.26,100,3.6,IS,1681418585
165,pemba,-12.974,40.5178,25.39,25.39,20,2.57,MZ,1681418585
166,faanui,-16.4833,-151.75,27.76,27.76,19,3.59,PF,1681418585
167,bengkulu,-3.8004,102.2655,24.3,24.3,68,1.61,ID,1681418585
168,labuan,5.2767,115.2417,26.2,26.2,20,0.0,MY,1681418586
169,upornaya,44.3914,41.0196,4.28,4.28,50,2.23,RU,1681418586
170,ostrovnoy,68.0531,39.5131,-8.89,-8.89,16,7.31,RU,1681418587
171,saint george,37.1041,-113.5841,23.3,21.33,40,6.69,US,1681418587
172,camacha,33.0833,-16.3333,16.68,16.68,75,7.2,PT,1681418587
173,jinka,5.65,36.65,18.2,18.2,84,0.75,ET,1681418588
174,stromness,58.965,-3.296,5.98,4.93,100,2.17,GB,1681418341
175,saint-francois,46.4154,3.9054,5.53,4.69,0,1.54,FR,1681418588
176,natal,-5.795,-35.2094,28.36,28.12,40,6.69,BR,1681418394
177,sabha,27.0377,14.4283,21.26,21.26,6,4.95,LY,1681418589
178,atambua,-9.1061,124.8925,22.92,22.92,18,0.71,ID,1681418589
179,ribeira grande,38.5167,-28.7,17.22,17.1,75,5.81,PT,1681418590
180,altay,47.8667,88.1167,-1.49,-1.49,6,3.61,CN,1681418590
181,puerto ayora,-0.7393,-90.3518,31.98,29.75,77,2.68,EC,1681418590
182,cherskiy,68.75,161.3,-20.63,-20.63,63,1.93,RU,1681418590
183,santa marta,11.2408,-74.199,32.03,32.03,20,4.63,CO,1681418591
184,privodino,61.0781,46.5044,-7.5,-7.5,7,3.64,RU,1681418591
185,qaanaaq,77.484,-69.3632,-12.82,-12.82,3,0.75,GL,1681418591
186,chapais,49.7834,-74.8492,14.88,14.88,100,6.3,CA,1681418591
187,shatin,39.8357,45.3019,6.63,6.63,99,2.31,AM,1681418592
188,havelock,34.8791,-76.9013,26.98,20.52,0,7.2,US,1681418592
189,faya,18.3851,42.4509,18.06,15.29,1,1.45,SA,1681418593
190,bull savanna,17.8868,-77.5902,26.36,26.36,30,2.88,JM,1681418593
191,maragogi,-9.0122,-35.2225,25.19,25.19,92,3.25,BR,1681418374
192,tiksi,71.6872,128.8694,-12.95,-12.95,100,1.77,RU,1681418593
193,reconquista,-29.15,-59.65,18.41,18.41,100,5.29,AR,1681418594
194,kargil,34.5667,76.1,-2.94,-2.94,38,1.38,IN,1681418594
195,machado,-21.6747,-45.9197,19.77,19.77,55,0.72,BR,1681418594
196,tubuala,9.5167,-79.0333,26.7,26.7,80,6.58,PA,1681418595
197,bethel,41.3712,-73.414,31.83,27.49,0,3.6,US,1681418595
198,kralendijk,12.15,-68.2667,28.99,28.99,75,7.2,BQ,1681418595
199,portland,45.5234,-122.6762,11.93,8.69,100,2.24,US,1681417800
200,morayfield,-27.1167,152.95,18.38,13.56,0,1.31,AU,1681418596
201,mudgee,-32.5943,149.5871,13.68,13.68,49,1.67,AU,1681418596
202,grimshaw,56.1834,-117.6027,10.79,10.79,40,7.2,CA,1681418596
203,hamilton,39.1834,-84.5333,28.29,25.91,0,2.06,US,1681417831
204,khatanga,71.9667,102.5,-12.51,-12.51,100,10.29,RU,1681418598
205,ugoofaaru,5.6667,73.0,28.4,28.4,97,1.93,MV,1681418598
206,salta,-24.7859,-65.4117,16.33,15.32,100,3.6,AR,1681418598
207,marsh harbour,26.5412,-77.0636,24.93,24.93,3,5.92,BS,1681418599
208,tessalit,20.1986,1.0114,29.28,29.28,81,4.89,ML,1681418599
209,hofn,64.2539,-15.2082,5.51,5.51,100,5.29,IS,1681418599
210,berlevag,70.8578,29.0864,1.0,-1.11,0,8.23,NO,1681418599
211,laguna,38.421,-121.4238,19.24,16.62,0,6.17,US,1681418600
212,akyab,20.15,92.9,25.86,25.86,3,1.68,MM,1681418600
213,chokurdakh,70.6333,147.9167,-15.79,-15.79,100,2.7,RU,1681418601
214,matagami,49.7502,-77.6328,11.06,11.06,0,7.2,CA,1681418601
215,half moon bay,37.4636,-122.4286,20.49,11.98,0,4.12,US,1681418602
216,clyde river,70.4692,-68.5914,-11.87,-11.87,75,7.72,CA,1681418602
217,moskovskiy,55.5991,37.355,9.95,6.99,0,9.0,RU,1681418602
218,mount abu,24.6,72.7,20.36,20.36,86,2.75,IN,1681418603
219,pringsewu,-5.3582,104.9744,23.09,23.09,99,1.93,ID,1681418603
220,le port,-20.9373,55.2919,25.0,23.06,74,2.32,RE,1681418603
221,acajutla,13.5928,-89.8275,30.1,30.1,80,4.64,SV,1681418603
222,ponta do sol,32.6667,-17.1,19.84,17.85,68,3.17,PT,1681418604
223,gayny,60.3071,54.3241,-9.57,-9.57,36,3.74,RU,1681418604
224,aklavik,68.2191,-135.0107,-16.0,-16.0,75,3.09,CA,1681418539
225,san lorenzo,-25.3333,-57.5333,19.77,19.52,75,0.0,PY,1681418604
226,nhulunbuy,-12.2333,136.7667,24.34,24.34,69,0.0,AU,1681418604
227,bambous virieux,-20.3428,57.7575,24.56,24.14,20,2.57,MU,1681418605
228,mount isa,-20.7333,139.5,17.87,17.87,87,2.06,AU,1681418605
229,waipawa,-41.4122,175.5153,12.17,12.17,100,4.18,NZ,1681418606
230,barra do corda,-5.5,-45.25,24.4,24.4,55,2.01,BR,1681418606
231,san quintin,30.4833,-115.95,15.25,15.25,36,8.11,MX,1681418607
232,goderich,43.7501,-81.7165,24.18,24.18,10,6.69,CA,1681418607
233,praia da vitoria,38.7333,-27.0667,18.14,17.64,40,4.94,PT,1681418607
234,marawi,7.9986,124.2928,20.53,20.53,9,1.22,PH,1681418610
235,leninskoye,41.7589,69.3864,18.37,18.37,64,3.2,KZ,1681418610
236,tilichiki,60.4667,166.1,-19.59,-19.59,56,3.54,RU,1681418611
237,mahishadal,22.1833,87.9833,28.33,28.33,0,4.38,IN,1681418611
238,qui nhon,13.7667,109.2333,25.49,25.49,100,1.68,VN,1681418416
239,airai,-8.9266,125.4092,15.68,15.68,27,1.06,TL,1681418612
240,liverpool,53.4106,-2.9779,8.12,5.25,0,3.6,GB,1681418571
241,charlestown,-32.95,151.6667,18.81,14.45,90,1.79,AU,1681418612
242,skibbereen,51.55,-9.2667,7.56,7.56,100,2.63,IE,1681418613
243,turukhansk,65.8167,87.9833,-22.87,-22.87,100,2.17,RU,1681418613
244,vardo,70.3705,31.1107,-2.01,-2.01,0,10.8,NO,1681418614
245,carsamba,41.1989,36.7219,8.86,8.86,20,2.06,TR,1681418614
246,dubti,11.7361,41.0853,30.58,30.58,44,6.12,ET,1681418615
247,deputatskiy,69.3,139.9,-17.99,-17.99,100,0.87,RU,1681418615
248,mount gambier,-37.8333,140.7667,11.33,11.33,1,2.34,AU,1681418615
249,klaksvik,62.2266,-6.589,6.51,6.51,100,6.83,FO,1681418615
250,yulara,-25.2406,130.9889,23.37,23.37,100,4.85,AU,1681418616
251,ucluelet,48.9329,-125.5528,8.94,7.17,79,0.89,CA,1681418616
